06/05/2022 19:20:21 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:22 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:22 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:23 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:24 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:24 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:25 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:25 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:26 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:27 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:27 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:28 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:28 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:29 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:30 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:30 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:31 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:31 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:32 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:33 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:33 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:34 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:34 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:35 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:36 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:36 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:37 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:37 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:38 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:39 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:39 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:21:38 MQTT-APP:  app/inicio 60.
06/05/2022 19:21:38 MQTT-NODO: test/logEsp Archivo:: <A1651875698295.csv>.  --> Música celular
06/05/2022 19:21:38 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:21:39 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:21:39 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:21:40 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:21:40 MQTT-NODO: test/logEsp test/alarmas: <4>.
